ID;Outline_Number;Name;Duration;Start_Date;Finish_Date;AsmTV;BigScreen;Major;Public;SumTask;Class;URL;Title_EN;Title_FI;Location_EN;Location_FI;Location_URL;Outline_Level
107;4.14.1;Conversion help (short film & real wild);3,5 hrs;Thu 6.8.10 22:00;Fri 7.8.10 1:30;No;No;No;Yes;No;Compo_jury;/summer09/compos/sound-vision/short-film;Short film & Real Wild demo - format conversions help - come to Infodesk;Lyhyt elokuva & Real Wild demo - formaattimuunnosapua - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
108;4.14.2;Jury;2,5 hrs;Sat 8.8.10 10:00;Sat 8.8.10 12:30;No;No;No;Yes;No;Compo_jury;/summer09/compos/sound-vision/short-film;Short film - jury - come to Infodesk;Lyhyt elokuva - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
109;4.14.3;Feedback;15 mins;Sat 8.8.10 13:00;Sat 8.8.10 13:15;No;No;No;Yes;No;Compo_feedback;/summer09/compos/sound-vision/short-film;Short film - feedback at Infodesk;Lyhyt elokuva - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
110;4.14.4;Showing;1 hr;Sat 8.8.10 19:15;Sat 8.8.10 20:15;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/sound-vision/short-film;Short film compo;Lyhyt elokuva-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
111;4.15;64k intro;1335 mins;Fri 7.8.10 23:00;Sat 8.8.10 21:15;No;No;No;No;Yes;;;;;;;;2
112;4.15.1;Jury;2 hrs;Fri 7.8.10 23:00;Sat 8.8.10 1:00;No;No;No;Yes;No;Compo_jury;/summer09/compos/realtime/demo#64k;64k intro - jury - come to Infodesk;64k intro - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
113;4.15.2;Feedback;15 mins;Sat 8.8.10 1:30;Sat 8.8.10 1:45;No;No;No;Yes;No;Compo_feedback;/summer09/compos/realtime/demo#64k;64k intro - feedback at Infodesk;64k intro - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
114;4.15.3;Showing;45 mins;Sat 8.8.10 20:30;Sat 8.8.10 21:15;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/realtime/demo#64k;64k intro compo;64k intro-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
115;4.16;Demo;630 mins;Sat 8.8.10 13:00;Sat 8.8.10 23:30;No;No;No;No;Yes;;;;;;;;2
116;4.16.1;Jury;3 hrs;Sat 8.8.10 13:00;Sat 8.8.10 16:00;No;No;No;Yes;No;Compo_jury;/summer09/compos/realtime/demo#demo;Demo - jury;Demo - jury;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
117;4.16.2;Feedback;15 mins;Sat 8.8.10 16:45;Sat 8.8.10 17:00;No;No;No;Yes;No;Compo_feedback;/summer09/compos/realtime/demo#demo;Demo - feedback at Infodesk;Demo - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
118;4.16.3;Showing;2 hrs;Sat 8.8.10 21:30;Sat 8.8.10 23:30;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/realtime/demo#demo;Demo compo;Demo-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
119;;;;;;;;;;;;;;;;;;
120;5;Game competitions;2235 mins;Fri 7.8.10 13:00;Sun 9.8.10 2:15;No;No;No;No;Yes;;;;;;;;1
121;5.1;WC3: DotA;390 mins;Sat 8.8.10 15:30;Sat 8.8.10 22:00;No;No;No;No;Yes;;;;;;;;2
122;5.1.1;Semifinal 1;75 mins;Sat 8.8.10 15:30;Sat 8.8.10 16:45;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;WC3: DotA - Semifinal 1;WC3: DotA - Semifinaali 1;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
123;5.1.2;Semifinal 2;75 mins;Sat 8.8.10 17:15;Sat 8.8.10 18:30;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;WC3: DotA - Semifinal 2;WC3: DotA - Semifinaali 2;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
124;5.1.3;Bronze match;75 mins;Sat 8.8.10 19:00;Sat 8.8.10 20:15;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;WC3: DotA - Bronze match;WC3: DotA - Pronssiottelu;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
125;5.1.4;Tournament final;75 mins;Sat 8.8.10 20:45;Sat 8.8.10 22:00;No;No;Yes;Yes;No;Compo_game;http://www.peliliiga.fi;WC3: DotA - Tournament final;WC3: DotA - Turnauksen finaali;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
126;5.2;CounterStrike: Source;390 mins;Sat 8.8.10 12:00;Sat 8.8.10 18:30;No;No;No;No;Yes;;;;;;;;2
127;5.2.1;Semifinal 1;90 mins;Sat 8.8.10 12:00;Sat 8.8.10 13:30;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike Source - Semifinal 1;Counter-Strike Source - Semifinaali 1;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
128;5.2.2;Semifinal 2;90 mins;Sat 8.8.10 12:00;Sat 8.8.10 13:30;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike Source - Semifinal 2;Counter-Strike Source - Semifinaali 2;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
129;5.2.3;Bronze match;90 mins;Sat 8.8.10 17:00;Sat 8.8.10 18:30;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike Source - Bronze match;Counter-Strike Source - Pronssiottelu;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
130;5.2.4;Tournament final;90 mins;Sat 8.8.10 17:00;Sat 8.8.10 18:30;No;No;Yes;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike Source - Tournament final;Counter-Strike Source - Turnauksen finaali;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
131;5.3;Counter-Strike 1.6;705 mins;Sat 8.8.10 14:30;Sun 9.8.10 2:15;No;No;No;No;Yes;;;;;;;;2
132;5.3.1;Semifinal 1;90 mins;Sat 8.8.10 14:30;Sat 8.8.10 16:00;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike 1.6 - Semifinal 1;Counter-Strike 1.6 - Semifinaali 1;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
133;5.3.2;Semifinal 2;90 mins;Sat 8.8.10 14:30;Sat 8.8.10 16:00;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike 1.6 - Semifinal 2;Counter-Strike 1.6 - Semifinaali 2;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
134;5.3.3;Bronze match;90 mins;Sat 8.8.10 19:30;Sat 8.8.10 21:00;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike 1.6 - Bronze match;Counter-Strike 1.6 - Pronssiottelu;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
135;5.3.4;Tournament final + prizes;2 hrs;Sun 9.8.10 0:15;Sun 9.8.10 2:15;Yes;Yes;Yes;Yes;No;Compo_game;http://www.peliliiga.fi;Counter-Strike 1.6 - Tournament final and prizes;Counter-Strike 1.6 - Turnauksen finaali ja palkinnot;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
136;5.4;COD4;540 mins;Sat 8.8.10 12:00;Sat 8.8.10 21:00;No;No;No;No;No;;;;;;;;2
137;5.4.1;Semifinal 1;90 mins;Sat 8.8.10 12:00;Sat 8.8.10 13:30;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Call of Duty 4 - Semifinal 1;Call of Duty 4 - Semifinaali 1;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
138;5.4.2;Semifinal 2;90 mins;Sat 8.8.10 14:30;Sat 8.8.10 16:00;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Call of Duty 4 - Semifinal 2;Call of Duty 4 - Semifinaali 2;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
139;5.4.3;Bronze match;90 mins;Sat 8.8.10 17:00;Sat 8.8.10 18:30;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Call of Duty 4 - Bronze match;Call of Duty 4 - Pronssiottelu;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
140;5.4.4;Tournament final;90 mins;Sat 8.8.10 19:30;Sat 8.8.10 21:00;No;No;Yes;Yes;No;Compo_game;http://www.peliliiga.fi;Call of Duty 4 - Tournament final;Call of Duty 4 - Turnauksen finaali;Game hall;Pelihalli;/summer09/at-party/maps/party-place#first;3
141;5.5;Project Gotham Racing 4;480 mins;Fri 7.8.10 13:00;Fri 7.8.10 21:00;No;No;No;No;Yes;Compo_game;;;;;;;2
142;5.5.1;Qualifiers;2 hrs;Fri 7.8.10 13:00;Fri 7.8.10 15:00;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Project Gotham Racing 4 - qualifiers;Project Gotham Racing 4 - karsinta;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
143;5.5.2;Tournament final;1 hr;Fri 7.8.10 20:00;Fri 7.8.10 21:00;Yes;Yes;Yes;Yes;No;Compo_game;http://www.peliliiga.fi;Project Gotham Racing 4 - Tournament final;Project Gotham Racing 4 - Turnauksen finaali;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
144;5.6;Virtua Fighter 5;360 mins;Fri 7.8.10 16:00;Fri 7.8.10 22:00;No;No;No;No;Yes;Compo_game;;;;;;;2
145;5.6.1;Qualifiers;2 hrs;Fri 7.8.10 16:00;Fri 7.8.10 18:00;No;No;No;Yes;No;Compo_game;http://www.peliliiga.fi;Virtua Fighter 5 - qualifiers;Virtua Fighter 5 - karsinta;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
146;5.6.2;Tournament final + prize giving PGR4 & VF5;1 hr;Fri 7.8.10 21:00;Fri 7.8.10 22:00;Yes;Yes;Yes;Yes;No;Compo_game;http://www.peliliiga.fi;Virtua Fighter 5 - Tournament final and prizes for VF5 & PGR4;Virtua Fighter 5 - Turnauksen finaali ja palkinnot VF5 & PGR4;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
147;;;;;;;;;;;;;;;;;;
148;6;Ceremonies;4110 mins;Thu 6.8.10 18:30;Sun 9.8.10 15:00;No;No;No;No;Yes;;;;;;;;1
149;6.1;Opening ceremony;30 mins;Thu 6.8.10 18:30;Thu 6.8.10 19:00;Yes;Yes;Yes;Yes;No;Event;;Opening ceremony;Avajaisseremonia;Stage;Lava;/summer09/party_manual/maps#ground;2
150;6.2;Voting closes for individual, oldskool and 4k intro compos;0 mins;Sat 8.8.10 16:30;Sat 8.8.10 16:30;No;Yes;Yes;Yes;No;Event;/summer09/party_manual/intranet/vote;Voting closes for individual, oldskool and 4k intro compos;Äänestys päättyy yksilölaji-, oldskool- ja 4k intro-kompojen osalta;PMS;PMS;http://pms.assembly.org;2
151;6.3;Prize ceremony 1;1 hr;Sat 8.8.10 18:00;Sat 8.8.10 19:00;Yes;Yes;Yes;Yes;No;Compo;/summer09/compos/prizes/;Prize ceremony 1;Palkintoseremonia 1;Stage;Lava;/summer09/party_manual/maps#ground;2
152;6.4;Prize ceremony 2;0,5 hrs;Sat 8.8.10 23:45;Sun 9.8.10 0:15;Yes;Yes;Yes;Yes;No;Compo;/summer09/compos/prizes/;Prize ceremony 2 - Game compos;Palkintoseremonia 2 - pelikompot;Stage;Lava;/summer09/party_manual/maps#ground;2
153;6.5;Voting closes for group compos;0 mins;Sun 9.8.10 12:00;Sun 9.8.10 12:00;No;Yes;Yes;Yes;No;Event;/summer09/party_manual/intranet/vote;Voting closes;Äänestys päättyy;PMS;PMS;http://pms.assembly.org;2
154;6.6;Prize ceremony 3;30 mins;Sun 9.8.10 14:00;Sun 9.8.10 14:30;Yes;Yes;Yes;Yes;No;Compo;/summer09/compos/prizes/;Prize ceremony 3;Palkintoseremonia 3;Stage;Lava;/summer09/party_manual/maps#ground;2
155;6.7;Closing ceremony;30 mins;Sun 9.8.10 14:30;Sun 9.8.10 15:00;Yes;Yes;Yes;Yes;No;Event;;Closing ceremony;Lopettajaisseremonia;Stage;Lava;/summer09/party_manual/maps#ground;2
156;;;;;;;;;;;;;;;;;;
157;7;Program;3285 mins;Thu 6.8.10 23:15;Sun 9.8.10 6:00;No;No;No;No;Yes;;;;;;;;1
158;7.1;Robo war;510 mins;Sat 8.8.10 8:00;Sat 8.8.10 16:30;No;No;No;No;Yes;;;;;;;;2
159;7.1.1;Setup;2 hrs;Sat 8.8.10 8:00;Sat 8.8.10 10:00;No;No;No;No;No;Event;/summer09/program/robosota;Robowar tournament - setup;Robowar tournament - setup;Outside loading door #1;Lastausovi #1:n ulkopuolella;/summer09/at-party/maps/party-place#ground;3
160;7.1.2;Tournament qualifier ;2 hrs;Sat 8.8.10 10:00;Sat 8.8.10 12:00;No;No;Yes;Yes;No;Event;/summer09/program/robosota;Robowar tournament qualifier;Robosota turnauksen karsinta;Outside loading door #1;Lastausovi #1:n ulkopuolella;/summer09/at-party/maps/party-place#ground;3
161;7.1.3;Tournament;1 hr;Sat 8.8.10 13:30;Sat 8.8.10 14:30;No;No;Yes;Yes;No;Event;/summer09/program/robosota;Robowar tournament final;Robosota turnauksen finaali;Outside loading door #1;Lastausovi #1:n ulkopuolella;/summer09/at-party/maps/party-place#ground;3
162;7.1.4;Cleanup;2 hrs;Sat 8.8.10 14:30;Sat 8.8.10 16:30;No;No;No;No;No;Event;/summer09/program/robosota;Robowar tournament - clean-up;Robowar tournament - clean-up;Outside loading door #1;Lastausovi #1:n ulkopuolella;/summer09/at-party/maps/party-place#ground;3
163;7.2;Concerts;105 mins;Thu 6.8.10 23:15;Fri 7.8.10 1:00;No;No;No;No;Yes;;;;;;;;2
164;7.2.1;Goto80;45 mins;Thu 6.8.10 23:15;Fri 7.8.10 0:00;No;No;Yes;Yes;No;Event;/summer09/program/concerts;Concert - Goto80;Konsertti - Goto80;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
165;7.2.2;Axes Denied;45 mins;Fri 7.8.10 0:15;Fri 7.8.10 1:00;No;No;Yes;Yes;No;Event;/summer09/program/concerts;Concert - Axes Denied;Konsertti - Axes Denied;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
166;7.3;Raves;3090 mins;Fri 7.8.10 2:30;Sun 9.8.10 6:00;No;No;No;No;Yes;;;;;;;;2
167;7.3.1;Rave;315 mins;Fri 7.8.10 2:30;Fri 7.8.10 7:45;No;No;Yes;Yes;No;Event;/summer09/program/rave;Rave;Ravet;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
168;7.3.2;Rave;6,5 hrs;Fri 7.8.10 23:30;Sat 8.8.10 6:00;No;No;Yes;Yes;No;Event;/summer09/program/rave;Rave;Ravet;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
169;7.3.3;Rave;6,5 hrs;Sat 8.8.10 23:30;Sun 9.8.10 6:00;No;No;Yes;Yes;No;Event;/summer09/program/rave;Rave;Ravet;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
170;7.4;ASUS stage event;30 mins;Sat 8.8.10 17:30;Sat 8.8.10 18:00;No;No;No;No;Yes;;;;;;;;2
171;7.4.1;Asus stage event;0,5 hrs;Sat 8.8.10 17:30;Sat 8.8.10 18:00;No;Yes;Yes;Yes;No;Event;;ASUS stage event;ASUS stage event;Stage;Lava;/summer09/party_manual/maps#ground;3
172;;;;;;;;;;;;;;;;;;
173;8;Seminars;3210 mins;Thu 6.8.10 14:15;Sat 8.8.10 19:45;No;No;No;No;Yes;;;;;;;;1
174;8.1;Seminars Thursday;420 mins;Thu 6.8.10 14:15;Thu 6.8.10 21:15;No;No;Yes;No;Yes;;;Seminars Thursday;Seminars Thursday;;;;2
175;8.1.1;Initial setup, equipment testing;90 mins;Thu 6.8.10 14:15;Thu 6.8.10 15:45;No;No;No;No;No;Seminar;;ARTtech seminars - Initial setup, equipment testing;ARTtech-seminaari - Initial setup, equipment testing;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
176;8.1.2;ARTtech seminars - Getting More Out of Your Education via the Demoscene Spirit;45 mins;Thu 6.8.10 16:00;Thu 6.8.10 16:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#indie_startup;ARTtech seminars - Getting More Out of Your Education via the Demoscene Spirit;ARTtech seminars - Getting More Out of Your Education via the Demoscene Spirit;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
177;8.1.3;ARTtech seminars - Building a Smarter Planet with Serious Gaming and 3D Virtual Worlds;45 mins;Thu 6.8.10 17:00;Thu 6.8.10 17:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#smarter_planet;ARTtech seminars - Building a Smarter Planet with Serious Gaming and 3D Virtual Worlds;ARTtech seminars - Building a Smarter Planet with Serious Gaming and 3D Virtual Worlds;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
178;8.1.4;ARTtech seminars - Developing graphics technology for non-AAA games;45 mins;Thu 6.8.10 18:00;Thu 6.8.10 18:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#gfxtech;ARTtech seminars - Developing graphics technology for non-AAA games;ARTtech seminars - Developing graphics technology for non-AAA games;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
179;8.1.5;ARTtech seminars - Demo Programming for Beginners;45 mins;Thu 6.8.10 19:00;Thu 6.8.10 19:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#demo_programming;ARTtech seminars - Demo Programming for Beginners;ARTtech seminars - Demo Programming for Beginners;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
180;8.1.6;ARTtech seminars - Anthology of Flash Demo History;45 mins;Thu 6.8.10 20:00;Thu 6.8.10 20:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#flash_demos;ARTtech seminars - Anthology of Flash Demo History;ARTtech seminars - Anthology of Flash Demo History;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
181;8.1.7;Closing down;15 mins;Thu 6.8.10 21:00;Thu 6.8.10 21:15;No;No;No;No;No;Seminar;;ARTtech seminars - closing down;ARTtech seminars - closing down;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
182;8.2;Seminars Friday;825 mins;Fri 7.8.10 9:00;Fri 7.8.10 22:45;No;No;Yes;No;Yes;;;Seminars Friday;Seminars Friday;;;;2
183;8.2.1;Setup, equipment testing;45 mins;Fri 7.8.10 9:00;Fri 7.8.10 9:45;No;No;No;No;No;Seminar;;ARTtech seminars - Initial setup, equipment testing;ARTtech-seminaari - Initial setup, equipment testing;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
184;8.2.2;ARTtech seminars - Direct3D 11 - New Avenues of Performance;45 mins;Fri 7.8.10 10:00;Fri 7.8.10 10:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#direct3d;ARTtech seminars - Direct3D 11 - New Avenues of Performance;ARTtech seminars - Direct3D 11 - New Avenues of Performance;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
185;8.2.3;ARTtech seminars - Getting started with iPhone development;45 mins;Fri 7.8.10 11:00;Fri 7.8.10 11:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#iphone_start;ARTtech seminars - Getting started with iPhone development;ARTtech seminars - Getting started with iPhone development;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
186;8.2.4;ARTtech seminars - iPhone - learning the ways of GPU from the driver code;45 mins;Fri 7.8.10 12:00;Fri 7.8.10 12:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#iphone_gpu;ARTtech seminars - iPhone - learning the ways of GPU from the driver code;ARTtech seminars - iPhone - learning the ways of GPU from the driver code;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
187;8.2.5;ARTtech seminars - Learning how to teach making games;45 mins;Fri 7.8.10 13:00;Fri 7.8.10 13:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#gameteaching;ARTtech seminars - Learning how to teach making games;ARTtech seminars - Learning how to teach making games;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
188;8.2.6;ARTtech seminars - Distributing and Monetizing Windows Mobile Applications through the Windows Marketplace for Mobile;45 mins;Fri 7.8.10 14:00;Fri 7.8.10 14:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#windowsmobile;ARTtech seminars - Distributing and Monetizing Windows Mobile Applications through the Windows Marketplace for Mobile;ARTtech seminars - Distributing and Monetizing Windows Mobile Applications through the Windows Marketplace for Mobile;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
189;8.2.7;ARTtech seminars - Distribution of mobile content on OVI Store;45 mins;Fri 7.8.10 15:00;Fri 7.8.10 15:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#ovistore;ARTtech seminars - Distribution of mobile content on OVI Store;ARTtech seminars - Distribution of mobile content on OVI Store;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
190;8.2.8;ARTtech seminars - Developing the technology behind Love;45 mins;Fri 7.8.10 16:00;Fri 7.8.10 16:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#lovetech;ARTtech seminars - Developing the technology behind Love;ARTtech seminars - Developing the technology behind Love;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
191;8.2.9;ARTtech seminars - Rapid Game Design;45 mins;Fri 7.8.10 17:00;Fri 7.8.10 17:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#rapidgamedesign;ARTtech seminars - Rapid Game Design;ARTtech seminars - Rapid Game Design;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
192;8.2.10;ARTtech seminars - The Creation of Blueberry Garden - the inside story of the winner of IGF 2009;45 mins;Fri 7.8.10 18:00;Fri 7.8.10 18:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#blueberrygarden;ARTtech seminars - The Creation of Blueberry Garden - the inside story of the winner of IGF 2009;ARTtech seminars - The Creation of Blueberry Garden - the inside story of the winner of IGF 2009;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
193;8.2.11;ARTtech seminars - The Mystery Seminar;45 mins;Fri 7.8.10 19:00;Fri 7.8.10 19:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#mystery;ARTtech seminars - The Mystery Seminar;ARTtech seminars - The Mystery Seminar;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
194;8.2.12;ARTtech seminars - Fighting Organized Online Crime;45 mins;Fri 7.8.10 20:00;Fri 7.8.10 20:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#online_crime;ARTtech seminars - Fighting Organized Online Crime;ARTtech seminars - Fighting Organized Online Crime;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
195;8.2.13;ARTtech seminars - DJing : how to beatmix, DJing the past, now and future;60 mins;Fri 7.8.10 21:15;Fri 7.8.10 22:15;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#dj;ARTtech seminars - DJing : how to beatmix, DJing the past, now and future;ARTtech seminars - DJing : how to beatmix, DJing the past, now and future;Demoscene area;Demoskenealue;/summer09/at-party/maps/party-place#third;3
196;8.2.14;Closing down;15 mins;Fri 7.8.10 22:30;Fri 7.8.10 22:45;No;No;No;No;No;Seminar;;ARTtech seminars - ;ARTtech-seminaari - closing down;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
197;8.3;Seminars Saturday;645 mins;Sat 8.8.10 9:00;Sat 8.8.10 19:45;No;No;Yes;No;Yes;;;Seminars Saturday;Seminars Saturday;;;;2
198;8.3.1;Setup, equipment testing;45 mins;Sat 8.8.10 9:00;Sat 8.8.10 9:45;No;No;No;No;No;Seminar;;ARTtech seminars - ;ARTtech-seminaari - Initial setup, equipment testing;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
199;8.3.2;ARTtech seminars - Creativity and Art;45 mins;Sat 8.8.10 10:00;Sat 8.8.10 10:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#creativity;ARTtech seminars - Creativity and Art;ARTtech seminars - Creativity and Art;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
200;8.3.3;ARTtech seminars - Symphonic Shades - from a game console to a symphonic orchestra;45 mins;Sat 8.8.10 11:00;Sat 8.8.10 11:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#symphonicshades;ARTtech seminars - Symphonic Shades - from a game console to a symphonic orchestra;ARTtech seminars - Symphonic Shades - from a game console to a symphonic orchestra;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
201;8.3.4;ARTtech seminars - Confessions: Starting your own game company;45 mins;Sat 8.8.10 12:00;Sat 8.8.10 12:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#game_startup;ARTtech seminars - Confessions: Starting your own game company;ARTtech seminars - Confessions: Starting your own game company;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
202;8.3.5;ARTtech seminars - Integrating publicly distributed rendering with Blender: Case Renderfarm.fi;45 mins;Sat 8.8.10 13:00;Sat 8.8.10 13:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#ore;ARTtech seminars - Integrating publicly distributed rendering with Blender: Case Renderfarm.fi;ARTtech seminars - Integrating publicly distributed rendering with Blender: Case Renderfarm.fi;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
203;8.3.6;ARTtech seminars - Paneelikeskustelu tietoyhteiskunnan polttavista aiheista;105 mins;Sat 8.8.10 14:00;Sat 8.8.10 15:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#effi;ARTtech seminars - The hot legal & political topics in information society;ARTtech seminars - Paneelikeskustelu tietoyhteiskunnan polttavista aiheista;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
204;8.3.7;ARTtech seminars - Revisiting the Cyborg Manifesto: Science, Technology, and Socialist-Feminism in the 21. Century;45 mins;Sat 8.8.10 16:00;Sat 8.8.10 16:45;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#cyborgs;ARTtech seminars - Revisiting the Cyborg Manifesto: Science, Technology, and Socialist-Feminism in the 21. Century;ARTtech seminars - Revisiting the Cyborg Manifesto: Science, Technology, and Socialist-Feminism in the 21. Century;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
205;8.3.8;ARTtech seminars - Emulation as preservation strategy. EC Research Project KEEP discussion with emulation programmers;90 mins;Sat 8.8.10 17:00;Sat 8.8.10 18:30;No;No;No;Yes;No;Seminar;/summer09/seminars/sessions#emulation;ARTtech seminars - Emulation as preservation strategy. EC Research Project KEEP discussion with emulation programmers;ARTtech seminars - Emulation as preservation strategy. EC Research Project KEEP discussion with emulation programmers;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
206;8.3.9;Closing down;15 mins;Sat 8.8.10 18:30;Sat 8.8.10 18:45;No;No;No;No;No;Seminar;;ARTtech seminars - closing down;ARTtech-seminaari - closing down;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
207;8.3.10;Deconstruction;60 mins;Sat 8.8.10 18:45;Sat 8.8.10 19:45;No;No;No;No;No;Seminar;;ARTtech seminars - deconstruction;ARTtech-seminaari - deconstruction;Seminar hall;Seminaarihalli;/summer09/at-party/maps/party-place#first;3
