ID;Outline_Number;Name;Duration;Start_Date;Finish_Date;AsmTV;BigScreen;Major;Public;SumTask;Class;URL;Title_EN;Title_FI;Location_EN;Location_FI;Location_URL;Outline_Level
30;3.1;Loading doors open;0 mins;Fri 7.8.10 12:00;Fri 7.8.10 12:00;No;Yes;Yes;Yes;No;Event;/summer09/come-to-party/entry-setup;Loading doors are opened;Lastausovet avataan;Loading entrances #1 and #2;Lastaussisäänkäynnit #1 ja #2;/summer09/at-party/maps/party-place#first;2
31;3.2;Security at the door;6 hrs;Fri 7.8.10 12:00;Fri 7.8.10 18:00;No;No;No;No;No;Security;;Security at the door;Security at the door;Loading entrances #1 and #2;Lastaussisäänkäynnit #1 ja #2;/summer09/at-party/maps/party-place#first;2
32;3.3;Extra security at the door;3 hrs;Fri 7.8.10 12:00;Fri 7.8.10 15:00;No;No;No;No;No;Security;;Extra security at the door;Extra security at the door;Loading entrances #1 and #2;Lastaussisäänkäynnit #1 ja #2;/summer09/at-party/maps/party-place#first;2
33;3.4;Loading doors close;0 mins;Fri 7.8.10 18:00;Fri 7.8.10 18:00;No;Yes;Yes;Yes;No;Event;/summer09/come-to-party/entry-setup;Loading doors close;Lastausovet suljetaan;Loading entrances #1 and #2;Lastaussisäänkäynnit #1 ja #2;/summer09/at-party/maps/party-place#first;2
34;;;;;;;;;;;;;;;;;;
35;4;Compos;528420 mins;Thu 7.8.08 14:00;Sun 9.8.10 13:00;No;No;No;No;Yes;;;;;;;;1
36;4.1;Oldskool, invidual, 4k intro compo deadline;70 mins;Thu 6.8.10 21:00;Thu 6.8.10 22:10;No;No;No;No;Yes;;;;;;;;2
37;4.1.1;Assistance for participants;70 mins;Thu 6.8.10 21:00;Thu 6.8.10 22:10;No;No;No;No;No;Compo;;Assistance for participants;Assistance for participants;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
38;4.1.2;Oldskool, individual and 4k intro compo deadline;0 mins;Thu 6.8.10 22:00;Thu 6.8.10 22:00;No;Yes;Yes;Yes;No;Compo_deadline;/summer09/compos/how-to/submit-entry;Oldskool, Extreme, individual and 4k intro compo deadline;Oldskool-, Extreme-, yksilölaji- ja 4k intro-kompojen takaraja;PMS;PMS;http://pms.assembly.org;3
39;4.2;Group compo deadline;70 mins;Fri 7.8.10 19:00;Fri 7.8.10 20:10;No;No;No;No;Yes;;;;;;;;2
40;4.2.1;Assistance for participants;70 mins;Fri 7.8.10 19:00;Fri 7.8.10 20:10;No;No;No;No;No;Compo;;Assistance for participants;Assistance for participants;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
41;4.2.2;Group compo deadline;0 mins;Fri 7.8.10 20:00;Fri 7.8.10 20:00;No;Yes;Yes;Yes;No;Compo_deadline;/summer09/compos/how-to/submit-entry;Group compo deadline;Ryhmäkompojen takaraja;PMS;PMS;http://pms.assembly.org;3
42;4.3;Sign-up for sports, GH, machine dance, console compos;23 hrs;Thu 6.8.10 12:00;Fri 7.8.10 11:00;No;No;Yes;Yes;No;Compo;/summer09/compos/gaming-sports;Sign-up for sports, Guitar Hero, Machine Dance and Console game compos;Ilmottautuminen urheilu-, Guitar Hero-, Machine Dance- ja konsolipelikilpailuihin;PMS;PMS;http://pms.assembly.org;2
43;4.4;Sports compos;660 mins;Fri 7.8.10 8:00;Fri 7.8.10 19:00;No;No;No;No;Yes;;;;;;;;2
44;4.4.1;Retrieving and setting up basketball equipment;3 hrs;Fri 7.8.10 8:00;Fri 7.8.10 11:00;No;No;No;No;No;Compo;;Retrieving and setting up equipment;Retrieving and setting up equipment;;;;3
45;4.4.2;Street basketball;2 hrs;Fri 7.8.10 12:00;Fri 7.8.10 14:00;No;No;Yes;Yes;No;Compo_show;/summer09/compos/gaming-sports/team/#streetbasketball;Microsoft street basketball;Microsoft Katukoris;Outside main entrance;Pääsisäänkäynnin ulkopuolella;/summer09/at-party/maps/party-place#first;3
46;4.4.3;Returning basketball equipment;1,5 hrs;Fri 7.8.10 14:30;Fri 7.8.10 16:00;No;No;No;No;No;Compo;;Returning equipment;Returning equipment;;;;3
47;4.4.4;Gather up at Infodesk;15 mins;Fri 7.8.10 15:45;Fri 7.8.10 16:00;No;No;No;Yes;No;Compo;/summer09/compos/gaming-sports;Sport compos - gather up at the infodesk;Urheilukompot - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
48;4.4.5;Disk  throwing;1 hr;Fri 7.8.10 16:00;Fri 7.8.10 17:00;No;No;Yes;Yes;No;Compo_show;/summer09/compos/gaming-sports/individual/#disk;Disk throwing;Diskin heitto;Grass fields by Messukeskus;Messukeskuksen viereiset nurmikentät;http://tinyurl.com/5zh2t3;3
49;4.4.6;CD throwing;1 hr;Fri 7.8.10 16:00;Fri 7.8.10 17:00;No;No;Yes;Yes;No;Compo_show;/summer09/compos/gaming-sports/individual/#cd;CD throwing;CD:n heitto;Grass fields by Messukeskus;Messukeskuksen viereiset nurmikentät;http://tinyurl.com/5zh2t3;3
50;4.4.7;Soccer;2 hrs;Fri 7.8.10 17:00;Fri 7.8.10 19:00;No;No;Yes;Yes;No;Compo_show;/summer09/compos/gaming-sports/team/#soccer;ASUS Soccer;ASUS Jalkapallo;Grass fields by Messukeskus;Messukeskuksen viereiset nurmikentät;http://tinyurl.com/5zh2t3;3
